osm_id,place,plz,landkreis,bundesland,nuts3,nuts2,nuts1
1104550,Aach,78267,Landkreis Konstanz,Baden-Württemberg,DEB33,DEB3,DEB
1255910,Aach,54298,Landkreis Trier-Saarburg,Rheinland-Pfalz,DEB33,DEB3,DEB
62564,Aachen,52062,Städteregion Aachen,Nordrhein-Westfalen,DEA2D,DEA2,DEA
62564,Aachen,52064,Städteregion Aachen,Nordrhein-Westfalen,DEA2D,DEA2,DEA
62564,Aachen,52066,Städteregion Aachen,Nordrhein-Westfalen,DEA2D,DEA2,DEA
62564,Aachen,52068,Städteregion Aachen,Nordrhein-Westfalen,DEA2D,DEA2,DEA
62564,Aachen,52070,Städteregion Aachen,Nordrhein-Westfalen,DEA2D,DEA2,DEA
62564,Aachen,52072,Städteregion Aachen,Nordrhein-Westfalen,DEA2D,DEA2,DEA
62564,Aachen,52074,Städteregion Aachen,Nordrhein-Westfalen,DEA2D,DEA2,DEA
62564,Aachen,52076,Städteregion Aachen,Nordrhein-Westfalen,DEA2D,DEA2,DEA
62564,Aachen,52078,Städteregion Aachen,Nordrhein-Westfalen,DEA2D,DEA2,DEA
62564,Aachen,52080,Städteregion Aachen,Nordrhein-Westfalen,DEA2D,DEA2,DEA
915486,Aalen,73430,Ostalbkreis,Baden-Württemberg,DE11D,DE11,DE1
915486,Aalen,73431,Ostalbkreis,Baden-Württemberg,DE11D,DE11,DE1
915486,Aalen,73432,Ostalbkreis,Baden-Württemberg,DE11D,DE11,DE1
915486,Aalen,73433,Ostalbkreis,Baden-Württemberg,DE11D,DE11,DE1
915486,Aalen,73434,Ostalbkreis,Baden-Württemberg,DE11D,DE11,DE1
413109,Aarbergen,65326,Rheingau-Taunus-Kreis,Hessen,DE71D,DE71,DE7
448770,Aasbüttel,25560,Kreis Steinburg,Schleswig-Holstein,DEA14,DEA1,DEA
158409,Abenberg,91183,Landkreis Roth,Bayern,DEB33,DEB3,DEB
956651,Abensberg,93326,Landkreis Kelheim,Bayern,DEB33,DEB3,DEB
